goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Age;dimensions.Sex;dimensions.Reporting Type;ATTR_ENDPOINT
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;4;Afghanistan;2015.0;1.1;Float;;;;;;DHS 2015;;['Refers to ever-married women only'];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;24;Angola;2016.0;4.6;Float;;;;;;DHS 2015-16;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;31;Azerbaijan;2006.0;0.1;Float;;;;;;DHS 2006;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;50;Bangladesh;2015.0;3.5;Float;;;;;;Violence against Women Survey 2015;;['Refers only to experiences of non-partner sexual violence and definition of sexual violence differs from the standard'];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;204;Benin;2018.0;4.5;Float;;;;;;DHS 2017-18;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;108;Burundi;2017.0;0.2;Float;;;;;;DHS 2016-17;;[' '];CA;PERCENT;18-29;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;108;Burundi;2017.0;3.5;Float;;;;;;DHS 2016-17;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;116;Cambodia;2014.0;1.7;Float;;;;;;DHS 2014;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;120;Cameroon;2018.0;2.1;Float;;;;;;DHS 2018, table produced at HQ;;[' '];CA;PERCENT;18-29;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;120;Cameroon;2018.0;7.2;Float;;;;;;DHS 2018, table produced at HQ;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;62;Central and Southern Asia;2020.0;1.5;Float;;;;;;DHS, MICS and other national surveys;;['Based on 7 countries with a population coverage 92 per cent of the regional female population aged 18 to 29 years'];E;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;148;Chad;2015.0;1.8;Float;;;;;;DHS 2014-15;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;170;Colombia;2015.0;2.2;Float;;;;;;DHS 2015;;['Question only asked of women who have had sexual relations but denominator is all women'];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;170;Colombia;2015.0;0.3;Float;;;;;;DHS 2015;;[' '];CA;PERCENT;18-29;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;174;Comoros;2012.0;3.1;Float;;;;;;DHS 2012;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;180;Democratic Republic of the Congo;2014.0;13.4;Float;;;;;;DHS 2013-14;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;214;Dominican Republic;2013.0;1.3;Float;;;;;;DHS 2013;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;231;Ethiopia;2016.0;5.1;Float;;;;;;DHS 2016;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;266;Gabon;2012.0;9.3;Float;;;;;;DHS 2012;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;270;Gambia;2020.0;4.9;Float;;;;;;DHS 2019-20;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;288;Ghana;2008.0;10.3;Float;;;;;;DHS 2008;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;308;Grenada;2018.0;13.7;Float;;;;;;Women's Health and Life Experiences Survey 2018;;['Definition of sexual violence includes: sexual touching against your will and made to do something sexual you did not want to'];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;320;Guatemala;2015.0;4;Float;;;;;;DHS 2014-15;;[' '];CA;PERCENT;18-29;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
['16'];['16.2'];['16.2.3'];VC_VAW_SXVLN;Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29);80;320;Guatemala;2015.0;1;Float;;;;;;DHS 2014-15;;[' '];CA;PERCENT;18-29;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_VAW_SXVLN&pageSize=999999999
