goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;dimensions.Quantile;ATTR_ENDPOINT
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;8;Albania;2008.0;6.04202;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;8;Albania;2008.0;7.86586;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;8;Albania;2012.0;14.22281;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;8;Albania;2012.0;17.03102;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;24;Angola;2018.0;0.3415;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;24;Angola;2018.0;3.65996;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;32;Argentina;2006.0;1.61648;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;32;Argentina;2006.0;1.31861;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;32;Argentina;2010.0;1.33174;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_LMKT;[World Bank] Proportion of population covered by labour market programs (%);460;32;Argentina;2010.0;1.38384;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_LMKT&pageSize=999999999
