Participant;Signature;Ratification, Accession(a), Succession(d);ATTR_ENDPOINT
Afghanistan;14 Aug 1980;5 Mar 2003;nan
Albania;;11 May 1994 a;nan
Algeria 2;;22 May 1996 a;nan
Andorra;;15 Jan 1997 a;nan
Angola;;17 Sep 1986 a;nan
Antigua and Barbuda;;1 Aug 1989 a;nan
Argentina;17 Jul 1980;15 Jul 1985;nan
Armenia;;13 Sep 1993 a;nan
Australia 3;17 Jul 1980;28 Jul 1983;nan
Austria 4;17 Jul 1980;31 Mar 1982;nan
Azerbaijan;;10 Jul 1995 a;nan
Bahamas;;6 Oct 1993 a;nan
Bahrain;;18 Jun 2002 a;nan
Bangladesh 5;;6 Nov 1984 a;nan
Barbados;24 Jul 1980;16 Oct 1980;nan
Belarus;17 Jul 1980;4 Feb 1981;nan
Belgium 6;17 Jul 1980;10 Jul 1985;nan
Belize;7 Mar 1990;16 May 1990;nan
Benin;11 Nov 1981;12 Mar 1992;nan
Bhutan;17 Jul 1980;31 Aug 1981;nan
Bolivia (Plurinational State of);30 May 1980;8 Jun 1990;nan
Bosnia and Herzegovina 7;;1 Sep 1993 d;nan
Botswana;;13 Aug 1996 a;nan
Brazil 8;31 Mar 1981;1 Feb 1984;nan
Brunei Darussalam;;24 May 2006 a;nan
Bulgaria 9;17 Jul 1980;8 Feb 1982;nan
Burkina Faso;;14 Oct 1987 a;nan
Burundi;17 Jul 1980;8 Jan 1992;nan
Cabo Verde;;5 Dec 1980 a;nan
Cambodia 10, 11;17 Oct 1980;15 Oct 1992 a;nan
Cameroon;6 Jun 1983;23 Aug 1994;nan
Canada 12;17 Jul 1980;10 Dec 1981;nan
Central African Republic;;21 Jun 1991 a;nan
Chad;;9 Jun 1995 a;nan
Chile;17 Jul 1980;7 Dec 1989;nan
China 13, 14;17 Jul 1980;4 Nov 1980;nan
Colombia;17 Jul 1980;19 Jan 1982;nan
Comoros;;31 Oct 1994 a;nan
Congo;29 Jul 1980;26 Jul 1982;nan
Cook Islands 15;;11 Aug 2006 a;nan
Costa Rica;17 Jul 1980;4 Apr 1986;nan
Côte d'Ivoire;17 Jul 1980;18 Dec 1995;nan
Croatia 7;;9 Sep 1992 d;nan
Cuba;6 Mar 1980;17 Jul 1980;nan
Cyprus 16;;23 Jul 1985 a;nan
Czech Republic 17;;22 Feb 1993 d;nan
Democratic People's Republic of Korea 18, 19;;27 Feb 2001 a;nan
Democratic Republic of the Congo;17 Jul 1980;17 Oct 1986;nan
Denmark 20;17 Jul 1980;21 Apr 1983;nan
Djibouti;;2 Dec 1998 a;nan
Dominica;15 Sep 1980;15 Sep 1980;nan
Dominican Republic;17 Jul 1980;2 Sep 1982;nan
Ecuador;17 Jul 1980;9 Nov 1981;nan
Egypt 21;16 Jul 1980;18 Sep 1981;nan
El Salvador;14 Nov 1980;19 Aug 1981;nan
Equatorial Guinea;;23 Oct 1984 a;nan
Eritrea;;5 Sep 1995 a;nan
Estonia;;21 Oct 1991 a;nan
Eswatini;;26 Mar 2004 a;nan
Ethiopia;8 Jul 1980;10 Sep 1981;nan
Fiji 22;;28 Aug 1995 a;nan
Finland;17 Jul 1980;4 Sep 1986;nan
France 23;17 Jul 1980;14 Dec 1983;nan
Gabon;17 Jul 1980;21 Jan 1983;nan
Gambia;29 Jul 1980;16 Apr 1993;nan
Georgia;;26 Oct 1994 a;nan
Germany 24, 25, 26;17 Jul 1980;10 Jul 1985;nan
Ghana;17 Jul 1980;2 Jan 1986;nan
Greece;2 Mar 1982;7 Jun 1983;nan
Grenada;17 Jul 1980;30 Aug 1990;nan
Guatemala;8 Jun 1981;12 Aug 1982;nan
Guinea 27;17 Jul 1980;9 Aug 1982;nan
Guinea-Bissau;17 Jul 1980;23 Aug 1985;nan
Guyana;17 Jul 1980;17 Jul 1980;nan
Haiti;17 Jul 1980;20 Jul 1981;nan
Honduras;11 Jun 1980;3 Mar 1983;nan
Hungary 28;6 Jun 1980;22 Dec 1980;nan
Iceland;24 Jul 1980;18 Jun 1985;nan
India;30 Jul 1980;9 Jul 1993;nan
Indonesia;29 Jul 1980;13 Sep 1984;nan
Iraq;;13 Aug 1986 a;nan
Ireland 29;;23 Dec 1985 a;nan
Israel 30;17 Jul 1980;3 Oct 1991;nan
Italy;17 Jul 1980;10 Jun 1985;nan
Jamaica 31;17 Jul 1980;19 Oct 1984;nan
Japan;17 Jul 1980;25 Jun 1985;nan
Jordan;3 Dec 1980;1 Jul 1992;nan
Kazakhstan;;26 Aug 1998 a;nan
Kenya;;9 Mar 1984 a;nan
Kiribati;;17 Mar 2004 a;nan
Kuwait 32;;2 Sep 1994 a;nan
Kyrgyzstan;;10 Feb 1997 a;nan
Lao People's Democratic Republic;17 Jul 1980;14 Aug 1981;nan
Latvia;;14 Apr 1992 a;nan
Lebanon;;16 Apr 1997 a;nan
Lesotho 33;17 Jul 1980;22 Aug 1995;nan
Liberia;;17 Jul 1984 a;nan
Libya 34;;16 May 1989 a;nan
Liechtenstein 35;;22 Dec 1995 a;nan
Lithuania;;18 Jan 1994 a;nan
Luxembourg;17 Jul 1980;2 Feb 1989;nan
Madagascar;17 Jul 1980;17 Mar 1989;nan
Malawi 36;;12 Mar 1987 a;nan
Malaysia 37;;5 Jul 1995 a;nan
Maldives 38, 39;;1 Jul 1993 a;nan
Mali;5 Feb 1985;10 Sep 1985;nan
Malta;;8 Mar 1991 a;nan
Marshall Islands;;2 Mar 2006 a;nan
Mauritania 40;;10 May 2001 a;nan
Mauritius 41;;9 Jul 1984 a;nan
Mexico;17 Jul 1980;23 Mar 1981;nan
Micronesia (Federated States of);;1 Sep 2004 a;nan
Monaco;;18 Mar 2005 a;nan
Mongolia 42;17 Jul 1980;20 Jul 1981;nan
Montenegro 43;;23 Oct 2006 d;nan
Morocco;;21 Jun 1993 a;nan
Mozambique;;21 Apr 1997 a;nan
Myanmar;;22 Jul 1997 a;nan
Namibia;;23 Nov 1992 a;nan
Nauru;;23 Jun 2011 a;nan
Nepal;5 Feb 1991;22 Apr 1991;nan
Netherlands (Kingdom of the) 44;17 Jul 1980;23 Jul 1991;nan
New Zealand 45, 46, 47, 48, 49;17 Jul 1980;10 Jan 1985;nan
Nicaragua;17 Jul 1980;27 Oct 1981;nan
Niger 50;;8 Oct 1999 a;nan
Nigeria;23 Apr 1984;13 Jun 1985;nan
North Macedonia 7;;18 Jan 1994 d;nan
Norway;17 Jul 1980;21 May 1981;nan
Oman;;7 Feb 2006 a;nan
Pakistan;;12 Mar 1996 a;nan
Palau;20 Sep 2011;;nan
Panama;26 Jun 1980;29 Oct 1981;nan
Papua New Guinea;;12 Jan 1995 a;nan
Paraguay;;6 Apr 1987 a;nan
Peru;23 Jul 1981;13 Sep 1982;nan
Philippines;15 Jul 1980;5 Aug 1981;nan
Poland 51;29 May 1980;30 Jul 1980;nan
Portugal 13, 52;24 Apr 1980;30 Jul 1980;nan
Qatar;;29 Apr 2009 a;nan
Republic of Korea 53;25 May 1983;27 Dec 1984;nan
Republic of Moldova;;1 Jul 1994 a;nan
Romania 54;4 Sep 1980;7 Jan 1982;nan
Russian Federation 55;17 Jul 1980;23 Jan 1981;nan
Rwanda;1 May 1980;2 Mar 1981;nan
Samoa;;25 Sep 1992 a;nan
San Marino;26 Sep 2003;10 Dec 2003;nan
Sao Tome and Principe;31 Oct 1995;3 Jun 2003;nan
Saudi Arabia;7 Sep 2000;7 Sep 2000;nan
Senegal;29 Jul 1980;5 Feb 1985;nan
Serbia 7;;12 Mar 2001 d;nan
Seychelles;;5 May 1992 a;nan
Sierra Leone;21 Sep 1988;11 Nov 1988;nan
Singapore 56, 57, 58;;5 Oct 1995 a;nan
Slovakia 17;;28 May 1993 d;nan
Slovenia 7;;6 Jul 1992 d;nan
Solomon Islands;;6 May 2002 a;nan
South Africa;29 Jan 1993;15 Dec 1995;nan
South Sudan;;30 Apr 2015 a;nan
Spain;17 Jul 1980;5 Jan 1984;nan
Sri Lanka;17 Jul 1980;5 Oct 1981;nan
St. Kitts and Nevis;;25 Apr 1985 a;nan
St. Lucia;;8 Oct 1982 a;nan
St. Vincent and the Grenadines;;4 Aug 1981 a;nan
State of Palestine;;2 Apr 2014 a;nan
Suriname;;1 Mar 1993 a;nan
Sweden 59, 60;7 Mar 1980;2 Jul 1980;nan
Switzerland 61;23 Jan 1987;27 Mar 1997;nan
Syrian Arab Republic;;28 Mar 2003 a;nan
Tajikistan;;26 Oct 1993 a;nan
Thailand 62;;9 Aug 1985 a;nan
Timor-Leste;;16 Apr 2003 a;nan
Togo;;26 Sep 1983 a;nan
Trinidad and Tobago;27 Jun 1985;12 Jan 1990;nan
Tunisia;24 Jul 1980;20 Sep 1985;nan
Türkiye;;20 Dec 1985 a;nan
Turkmenistan;;1 May 1997 a;nan
Tuvalu;;6 Oct 1999 a;nan
Uganda;30 Jul 1980;22 Jul 1985;nan
Ukraine;17 Jul 1980;12 Mar 1981;nan
United Arab Emirates 63;;6 Oct 2004 a;nan
United Kingdom of Great Britain and Northern Ireland 14, 64, 65, 66, 67, 68, 69, 70;22 Jul 1981;7 Apr 1986;nan
United Republic of Tanzania;17 Jul 1980;20 Aug 1985;nan
United States of America;17 Jul 1980;;nan
Uruguay;30 Mar 1981;9 Oct 1981;nan
Uzbekistan;;19 Jul 1995 a;nan
Vanuatu;;8 Sep 1995 a;nan
Venezuela (Bolivarian Republic of);17 Jul 1980;2 May 1983;nan
Viet Nam;29 Jul 1980;17 Feb 1982;nan
Yemen 71;;30 May 1984 a;nan
Zambia;17 Jul 1980;21 Jun 1985;nan
Zimbabwe;;13 May 1991 a;nan
