COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2016;Yes. There is national legislation regulating marketing or advertising to children and provisions are substantial or complete.;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2016;Yes, there are some provisions in national legislation regulating marketing and/or advertising to children.;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2016;Yes. There is national legislation regulating marketing and/or advertising to children. Relevant provisions (substantial or complete);This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2016;Yes. There is national legislation regulating marketing or advertising to children and provisions are substantial or complete.;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2016;No data;This indicator assesses whether there is national legislation regulating marketing or advertising to children. Data is from DLA Piper, Advertising and Marketing to Children Global Report (p.5 indicators 2 and 2.1): https://www.dlapiper.com/en/uk/insights/publications/2016/12/advertising-and-marketing-to-children/. Answer categories include: Yes, there is national legislation regulating marketing to children and provisions are substantial or complete. Yes, there is national legislation regulating marketing to children and there are some provisions. No, there are no provisions regulating marketing or advertising to children in national legislation. This was a colloboration between DLA Piper and UNICEF and at present the study is limited to 36 countries.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
