COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2010;90–100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2010;information is not available, could not be identified or is not applicable.;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2010;information is not available, could not be identified or is not applicable.;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2010;66–89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2010;90–100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2010;66–89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2010;90–100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator provides a measure of the number of employed women (regardless of their status in employment), who are entitled to a statutory right to maternity leave cash benefits, on a mandatory or a voluntary basis. The numerator is the result of the number of employed women, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code or social security law (legally covered) minus the number of legally covered employed women who do not meet the eligibility require- ments to access the right to maternity cash benefits (legally ineligible). The denominator is the number of women in employment, without discrimination as to age, nationality, marital status or residence, instead of the number of women in employment who are statutorily covered. The number of women in employment was preferred since the share of women covered in law is an estimate expressed in a broad range. Therefore, using the first denominator allows the calculation of an indicator that is more statistically robust. Finally, this indicator reflects the entitlement to maternity leave cash benefits, regardless of their level, duration or source of funding.;;;;;;;;;;;;AT;AUT;AUT;nan
