COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2022;88;" Substantially aligned 
 (score of 75 - 100);Moderately aligned  (score of 50 - < 75);
Some provisions  (score of < 50);
No legal measures";For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2022;74;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2022;6;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2022;90;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2022;80;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2022;78;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2022;63;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2022;68;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2022;42;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2022;73;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BW;BWA;BWA;nan
