COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2021;One;Both is good, one is okay, no is bad (e.g. 3=both, 2= one 1= No, 0=no data) ;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2021;NO;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2021;ONE;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2021;NO;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2021;NO;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2021;NO;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2021;NO;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2021;BOTH;;This indicator assesses a country's commitment to ending the recruitment and use of child soldiers, through their endorsement of the Vancouver Principles (2017) and the Paris Commitments and Paris Principles (2007).;;;;;;;;;;;;BD;BGD;BGD;nan
