goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Age;dimensions.Sex;dimensions.Reporting Type;ATTR_ENDPOINT
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;4;Afghanistan;2020.0;13;Float;;;;;;IELFS 2020, UNICEF and ILO calculations;;['These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds.'];CA;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;4;Afghanistan;2020.0;11.7;Float;;;;;;IELFS 2020, UNICEF and ILO calculations;;['These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds.'];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;4;Afghanistan;2020.0;14.2;Float;;;;;;IELFS 2020, UNICEF and ILO calculations;;['These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds.'];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;8;Albania;2010.0;3;Float;;;;;;CLS 2010, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;8;Albania;2010.0;3.6;Float;;;;;;CLS 2010, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;8;Albania;2010.0;3.3;Float;;;;;;CLS 2010, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;12;Algeria;2019.0;2;Float;;;;;;MICS 2018-19;;[' '];C;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;12;Algeria;2019.0;2.9;Float;;;;;;MICS 2018-19;;[' '];C;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;12;Algeria;2019.0;2.5;Float;;;;;;MICS 2018-19;;[' '];C;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;24;Angola;2016.0;19.9;Float;;;;;;DHS 2015-16, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;24;Angola;2016.0;16.6;Float;;;;;;DHS 2015-16, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;24;Angola;2016.0;18.7;Float;;;;;;DHS 2015-16, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;51;Armenia;2015.0;3;Float;;;;;;CLS 2015, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;51;Armenia;2015.0;5;Float;;;;;;CLS 2015, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;51;Armenia;2015.0;4.1;Float;;;;;;CLS 2015, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;50;Bangladesh;2019.0;4.6;Float;;;;;;MICS 2019, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;50;Bangladesh;2019.0;8.8;Float;;;;;;MICS 2019, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;50;Bangladesh;2019.0;6.8;Float;;;;;;MICS 2019, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;52;Barbados;2012.0;0.9;Float;;;;;;MICS 2012, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;52;Barbados;2012.0;1.8;Float;;;;;;MICS 2012, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;52;Barbados;2012.0;1.4;Float;;;;;;MICS 2012, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;112;Belarus;2019.0;4.7;Float;;;;;;MICS 2019;;[' '];C;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;112;Belarus;2019.0;4.1;Float;;;;;;MICS 2019;;[' '];C;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;112;Belarus;2019.0;3.4;Float;;;;;;MICS 2019;;[' '];C;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;84;Belize;2013.0;3.3;Float;;;;;;CAS 2013, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;84;Belize;2013.0;2.6;Float;;;;;;CAS 2013, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;84;Belize;2013.0;3.9;Float;;;;;;CAS 2013, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;204;Benin;2018.0;26;Float;;;;;;DHS 2017-18, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;204;Benin;2018.0;23.6;Float;;;;;;DHS 2017-18, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;204;Benin;2018.0;24.8;Float;;;;;;DHS 2017-18, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-17;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;64;Bhutan;2010.0;4.2;Float;;;;;;MICS 2010, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;64;Bhutan;2010.0;2.8;Float;;;;;;MICS 2010, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;64;Bhutan;2010.0;3.5;Float;;;;;;MICS 2010, UNICEF and ILO calculations;;[' '];CA;PERCENT;5-14;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;68;Bolivia (Plurinational State of);2019.0;13.2;Float;;;;;;ENNA 2019, UNICEF and ILO calculations;;['These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds according to the national legislation.'];CA;PERCENT;5-17;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
['8'];['8.7'];['8.7.1'];SL_TLF_CHLDEC;Proportion of children engaged in economic activity and household chores, by sex and age (%);307;68;Bolivia (Plurinational State of);2019.0;14;Float;;;;;;ENNA 2019, UNICEF and ILO calculations;;['These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds according to the national legislation.'];CA;PERCENT;5-17;MALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999
