COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;Countries that have constitutional provisions allowing for citizen suits:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;Countries that have constitutional provisions allowing for citizen suits:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2019;Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2019;Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2019;Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2019;Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2019;Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2019;Countries that have provisions in their environmental framework laws allowing for citizen suits;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2019;No;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2019;Countries that have constitutional provisions allowing for citizen suits:;"This indicator assesses whether a country has legal provisions allowing for citizen suits. Data is taken from UNEP Environment Rule of Law First Global Report 2019. Figure 5.3: Protection of Environmental Standing (2017) on p. 187 - whether law allows for citizen suits, including in environmental laws. There are three categories:
Countries that have constitutional provisions allowing for citizen suits, 
Countries that have provisions in their environmental framework laws allowing for citizen suits, Countries that have provisions allowing for citizen suits in both their constitutions and their environmental framework laws. 
Any country not in this list is given a 0=no data";;;;;;;;;;;;BR;BRA;BRA;nan
