COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2018;no;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2018;no;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2018;no;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2018;yes;The indicator assesses whether legislation criminalises knowing possession of CSAM, regardless of intent to distribute  167: “Simple possession,” for the purposes of this report, refers to knowing possession of CSAM regardless of the intent to distribute;;;;;;;;;;;;BW;BWA;BWA;nan
