Country;Date;Status;Note;ATTR_ENDPOINT
Albania;03 Jun 1957;In Force;;nan
Algeria;19 Oct 1962;In Force;;nan
Angola;13 Jun 2001;In Force;;nan
Antigua and Barbuda;02 Feb 1983;In Force;;nan
Argentina;18 Jan 1960;In Force;;nan
Armenia;02 Jan 2006;In Force;;nan
Australia;28 Feb 1973;In Force;;nan
Austria;18 Oct 1950;In Force;;nan
Azerbaijan;19 May 1992;In Force;;nan
Bahamas;14 Jun 2001;In Force;;nan
Bangladesh;22 Jun 1972;In Force;;nan
Barbados;08 May 1967;In Force;;nan
Belarus;06 Nov 1956;In Force;;nan
Belgium;23 Oct 1951;In Force;;nan
Belize;15 Dec 1983;In Force;;nan
Benin;12 Dec 1960;In Force;;nan
Bolivia (Plurinational State of);04 Jan 1965;In Force;;nan
Bosnia and Herzegovina;02 Jun 1993;In Force;;nan
Botswana;22 Dec 1997;In Force;;nan
Bulgaria;08 Jun 1959;In Force;;nan
Burkina Faso;21 Nov 1960;In Force;;nan
Burundi;25 Jun 1993;In Force;;nan
Cabo Verde;01 Feb 1999;In Force;;nan
Cambodia;23 Aug 1999;In Force;;nan
Cameroon;07 Jun 1960;In Force;;nan
Canada;23 Mar 1972;In Force;;nan
Central African Republic;27 Oct 1960;In Force;;nan
Chad;10 Nov 1960;In Force;;nan
Chile;01 Feb 1999;In Force;;nan
Colombia;16 Nov 1976;In Force;;nan
Comoros;23 Oct 1978;In Force;;nan
Congo;10 Nov 1960;In Force;;nan
Costa Rica;02 Jun 1960;In Force;;nan
Croatia;08 Oct 1991;In Force;;nan
Cuba;25 Jun 1952;In Force;;nan
Cyprus;24 May 1966;In Force;;nan
Czechia;01 Jan 1993;In Force;;nan
Côte d'Ivoire;21 Nov 1960;In Force;;nan
Democratic Republic of the Congo;20 Jun 2001;In Force;;nan
Denmark;13 Jun 1951;In Force;;nan
Djibouti;03 Aug 1978;In Force;;nan
Dominica;28 Feb 1983;In Force;;nan
Dominican Republic;05 Dec 1956;In Force;;nan
Ecuador;29 May 1967;In Force;;nan
Egypt;06 Nov 1957;In Force;;nan
El Salvador;06 Sep 2006;In Force;;nan
Equatorial Guinea;13 Aug 2001;In Force;;nan
Eritrea;22 Feb 2000;In Force;;nan
Estonia;22 Mar 1994;In Force;;nan
Eswatini;26 Apr 1978;In Force;;nan
Ethiopia;04 Jun 1963;In Force;;nan
Fiji;17 Apr 2002;In Force;;nan
Finland;20 Jan 1950;In Force;;nan
France;28 Jun 1951;In Force;;nan
Gabon;14 Oct 1960;In Force;;nan
Gambia;04 Sep 2000;In Force;;nan
Georgia;03 Aug 1999;In Force;;nan
Germany;20 Mar 1957;In Force;;nan
Ghana;02 Jun 1965;In Force;;nan
Greece;30 Mar 1962;In Force;;nan
Grenada;25 Oct 1994;In Force;;nan
Guatemala;13 Feb 1952;In Force;;nan
Guinea;21 Jan 1959;In Force;;nan
Guinea - Bissau;09 Jun 2023;Not in force;The Convention will enter into force for Guinea - Bissau on 09 Jun 2024.;nan
Guyana;25 Sep 1967;In Force;;nan
Haiti;05 Jun 1979;In Force;;nan
Honduras;27 Jun 1956;In Force;;nan
Hungary;06 Jun 1957;In Force;;nan
Iceland;19 Aug 1950;In Force;;nan
Indonesia;09 Jun 1998;In Force;;nan
Iraq;01 Jun 2018;In Force;;nan
Ireland;04 Jun 1955;In Force;;nan
Israel;28 Jan 1957;In Force;;nan
Italy;13 May 1958;In Force;;nan
Jamaica;26 Dec 1962;In Force;;nan
Japan;14 Jun 1965;In Force;;nan
Kazakhstan;13 Dec 2000;In Force;;nan
Kiribati;03 Feb 2000;In Force;;nan
Kuwait;21 Sep 1961;In Force;;nan
Kyrgyzstan;31 Mar 1992;In Force;;nan
Latvia;27 Jan 1992;In Force;;nan
Lesotho;31 Oct 1966;In Force;;nan
Liberia;25 May 1962;In Force;;nan
Libya;04 Oct 2000;In Force;;nan
Lithuania;26 Sep 1994;In Force;;nan
Luxembourg;03 Mar 1958;In Force;;nan
Madagascar;01 Nov 1960;In Force;;nan
Malawi;19 Nov 1999;In Force;;nan
Maldives;04 Jan 2013;In Force;;nan
Mali;22 Sep 1960;In Force;;nan
Malta;04 Jan 1965;In Force;;nan
Mauritania;20 Jun 1961;In Force;;nan
Mauritius;01 Apr 2005;In Force;;nan
Mexico;01 Apr 1950;In Force;;nan
Mongolia;03 Jun 1969;In Force;;nan
Montenegro;03 Jun 2006;In Force;;nan
Mozambique;23 Dec 1996;In Force;;nan
Myanmar;04 Mar 1955;In Force;;nan
Namibia;03 Jan 1995;In Force;;nan
Netherlands;07 Mar 1950;In Force;;nan
Nicaragua;31 Oct 1967;In Force;;nan
Niger;27 Feb 1961;In Force;;nan
Nigeria;17 Oct 1960;In Force;;nan
North Macedonia;17 Nov 1991;In Force;;nan
Norway;04 Jul 1949;In Force;;nan
Pakistan;14 Feb 1951;In Force;;nan
Panama;03 Jun 1958;In Force;;nan
Papua New Guinea;02 Jun 2000;In Force;;nan
Paraguay;28 Jun 1962;In Force;;nan
Peru;02 Mar 1960;In Force;;nan
Philippines;29 Dec 1953;In Force;;nan
Poland;25 Feb 1957;In Force;;nan
Portugal;14 Oct 1977;In Force;;nan
