COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;There is an SRO and an industry code of practice.;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;No evidence of SRO or an industry code of practice;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;There is an SRO and an industry code of practice.;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;There is an SRO and an industry code of practice.;"This indicator assesses whether there is self-regulation of marketing and advertising, through an industry code of practice and/or an SRO (a self-regulatory organisation, which is an independent body set up and/or funded by the advertising industry to apply self-regulatory standards aimed at ensuring that advertisements are ethical). Data is sourced from the ICAS Global Factbook 2019, Appendix: List of Advertising Self-Regulatory Organizations worldwide, and from DLA Piper, Advertising and Marketing to Children Global Report, 2016, indicator 4. Industry code of practice regulating marketing and/or advertising. Answer categories: There is an SRO AND an industry code of practice; there is either an SRO OR an industry code of practice; there is no SRO or industry code of practice.";;;;;;;;;;;;AT;AUT;AUT;nan
