COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2023;No;"Answers include: Yes, and addresses children’s rights specifically (4) 
Yes there is a NAP (3); In progress (2); No (1). No data (0)";This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AT;AUT;AUT;nan
