COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national administrative framework laws broadly providing for public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;Countries with constitutional provisions on public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national administrative framework laws broadly providing for public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2019;No;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2019;Countries with constitutional provisions on public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2019;No;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2019;No;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2019;Countries with constitutional provisions on public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2019;No;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2019;Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2019;Countries with constitutional provisions on public participation AND Countries with provisions in national administrative framework laws broadly providing for public participation AND Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2019;Countries with provisions in national environmental framework laws broadly guaranteeing public participation;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2019;No;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2019;No;"This indicator measures whether national laws guarantee public participation. Data is drawn from Figure 3.12: Constitutional and Statutory Guarantees of Public Participation (1972, 1992, 2017) on page 120-121, UNEP Environmental Rule of Law First Global Report 2019. Answer options include Countries with constitutional provisions on public participation; Countries with provisions in national administrative framework laws broadly providing for public participation; Countries with provisions in national environmental framework laws broadly guaranteeing public participation. No data.";;;;;;;;;;;;BR;BRA;BRA;nan
