GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;AUT;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;AZE;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EMR;BHR;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;SEAR;BGD;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;BLR;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;BEL;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AMR;BLZ;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;BEN;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;SEAR;BTN;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AMR;BOL;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;BWA;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AMR;BRA;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;WPR;BRN;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;BGR;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;BFA;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;BDI;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;GAB;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;GEO;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;DEU;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;GHA;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AMR;GTM;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AFR;GIN;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AMR;GUY;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;AMR;HND;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;EUR;ISL;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
VIOLENCE_EXTENTIMP_CHILDPROTECTION;PUBLISHED;2012-2014;SEAR;IND;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_CHILDPROTECTION.csv
