country;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;4.0;2016.0;nan
Albania;5.0;2016.0;nan
Algeria;1.0;2016.0;nan
Andorra;2.0;2016.0;nan
Angola;2.0;2016.0;nan
Antigua and Barbuda;1.0;2016.0;nan
Argentina;2.0;2016.0;nan
Armenia;5.0;2016.0;nan
Australia;1.0;2016.0;nan
Austria;1.0;2016.0;nan
Bahamas;1.0;2016.0;nan
Bahrain;5.0;2016.0;nan
Bangladesh;1.0;2016.0;nan
Barbados;1.0;2016.0;nan
Belarus;4.0;2016.0;nan
Belgium;1.0;2016.0;nan
Belize;1.0;2016.0;nan
Benin;1.0;2016.0;nan
Bhutan;1.0;2016.0;nan
Bolivia;4.0;2016.0;nan
Bosnia and Herzegovina;3.0;2016.0;nan
Botswana;1.0;2016.0;nan
Brazil;2.0;2016.0;nan
Brunei;1.0;2016.0;nan
Bulgaria;3.0;2016.0;nan
Burkina Faso;1.0;2016.0;nan
Burundi;2.0;2016.0;nan
Cambodia;5.0;2016.0;nan
Cameroon;1.0;2016.0;nan
Canada;1.0;2016.0;nan
Cape Verde;4.0;2016.0;nan
Central African Republic;1.0;2016.0;nan
Chad;1.0;2016.0;nan
Chile;1.0;2016.0;nan
China;1.0;2016.0;nan
Colombia;2.0;2016.0;nan
Comoros;5.0;2016.0;nan
Costa Rica;1.0;2016.0;nan
Cote d'Ivoire;1.0;2016.0;nan
Croatia;3.0;2016.0;nan
Cuba;1.0;2016.0;nan
Cyprus;1.0;2016.0;nan
Czech Republic;4.0;2016.0;nan
Democratic People's Republic of Korea;1.0;2016.0;nan
Democratic Republic of the Congo;4.0;2016.0;nan
Denmark;1.0;2016.0;nan
Djibouti;1.0;2016.0;nan
Dominica;1.0;2016.0;nan
Dominican Republic;4.0;2016.0;nan
Ecuador;4.0;2016.0;nan
Egypt;1.0;2016.0;nan
El Salvador;4.0;2016.0;nan
Equatorial Guinea;5.0;2016.0;nan
Eritrea;1.0;2016.0;nan
Estonia;4.0;2016.0;nan
Eswatini;1.0;2016.0;nan
Ethiopia;1.0;2016.0;nan
Fiji;1.0;2016.0;nan
Finland;1.0;2016.0;nan
France;3.0;2016.0;nan
Georgia;1.0;2016.0;nan
Germany;3.0;2016.0;nan
Ghana;1.0;2016.0;nan
Greece;4.0;2016.0;nan
Grenada;1.0;2016.0;nan
Guatemala;1.0;2016.0;nan
Guinea;4.0;2016.0;nan
Guinea-Bissau;4.0;2016.0;nan
Guyana;1.0;2016.0;nan
Haiti;5.0;2016.0;nan
Honduras;4.0;2016.0;nan
Hungary;2.0;2016.0;nan
Iceland;1.0;2016.0;nan
India;1.0;2016.0;nan
Indonesia;1.0;2016.0;nan
Iran;5.0;2016.0;nan
Iraq;1.0;2016.0;nan
Ireland;1.0;2016.0;nan
Israel;1.0;2016.0;nan
Italy;3.0;2016.0;nan
Jamaica;1.0;2016.0;nan
Japan;4.0;2016.0;nan
Jordan;1.0;2016.0;nan
Kazakhstan;5.0;2016.0;nan
Kenya;1.0;2016.0;nan
Kiribati;1.0;2016.0;nan
Kuwait;1.0;2016.0;nan
Kyrgyzstan;5.0;2016.0;nan
Laos;4.0;2016.0;nan
Latvia;5.0;2016.0;nan
Lebanon;1.0;2016.0;nan
Lesotho;3.0;2016.0;nan
Liberia;1.0;2016.0;nan
Libya;1.0;2016.0;nan
Liechtenstein;2.0;2016.0;nan
Lithuania;5.0;2016.0;nan
Luxembourg;4.0;2016.0;nan
Madagascar;5.0;2016.0;nan
Malawi;1.0;2016.0;nan
Malaysia;1.0;2016.0;nan
Maldives;1.0;2016.0;nan
Mali;1.0;2016.0;nan
Malta;1.0;2016.0;nan
Marshall Islands;1.0;2016.0;nan
Mauritania;1.0;2016.0;nan
Mauritius;4.0;2016.0;nan
Mexico;1.0;2016.0;nan
Micronesia, Federated States of;1.0;2016.0;nan
Moldova;5.0;2016.0;nan
Monaco;1.0;2016.0;nan
Mongolia;1.0;2016.0;nan
Montenegro;3.0;2016.0;nan
Morocco;1.0;2016.0;nan
Mozambique;4.0;2016.0;nan
Myanmar;1.0;2016.0;nan
Namibia;4.0;2016.0;nan
Nauru;1.0;2016.0;nan
Nepal;1.0;2016.0;nan
New Zealand;1.0;2016.0;nan
Nicaragua;1.0;2016.0;nan
Niger;1.0;2016.0;nan
Nigeria;1.0;2016.0;nan
North Macedonia;3.0;2016.0;nan
Norway;1.0;2016.0;nan
Oman;1.0;2016.0;nan
Pakistan;1.0;2016.0;nan
Panama;1.0;2016.0;nan
Papua New Guinea;1.0;2016.0;nan
Paraguay;5.0;2016.0;nan
Peru;5.0;2016.0;nan
Poland;4.0;2016.0;nan
Portugal;2.0;2016.0;nan
