Country;Date;Status;Note;ATTR_ENDPOINT
Antigua and Barbuda;28 Jul 2021;In Force;;nan
Argentina;09 Nov 2016;In Force;;nan
Australia;31 Mar 2022;In Force;;nan
Austria;12 Sep 2019;In Force;;nan
Bangladesh;20 Jan 2022;In Force;;nan
Belgium;10 Sep 2019;In Force;;nan
Bosnia and Herzegovina;09 Aug 2018;In Force;;nan
Canada;17 Jun 2019;In Force;;nan
Chile;19 Jan 2021;In Force;;nan
Comoros;15 Jul 2021;In Force;;nan
Costa Rica;16 Nov 2020;In Force;;nan
Cyprus;01 Feb 2017;In Force;;nan
Czechia;09 Jun 2016;In Force;;nan
Côte d'Ivoire;01 Nov 2019;In Force;;nan
Denmark;14 Jun 2017;In Force;;nan
Djibouti;09 Mar 2018;In Force;;nan
Estonia;24 Nov 2016;In Force;;nan
Finland;27 Jan 2017;In Force;;nan
France;07 Jun 2016;In Force;;nan
Germany;19 Jun 2019;In Force;;nan
Iceland;14 Jun 2017;In Force;;nan
Ireland;04 Feb 2019;In Force;;nan
Israel;11 Oct 2018;In Force;;nan
Jamaica;13 Jun 2017;In Force;;nan
Kyrgyzstan;06 Oct 2020;In Force;;nan
Latvia;07 Dec 2017;In Force;;nan
Lesotho;22 Aug 2019;In Force;;nan
Lithuania;05 Mar 2020;In Force;;nan
Luxembourg;18 Mar 2021;In Force;;nan
Madagascar;11 Jun 2019;In Force;;nan
Malawi;07 Nov 2019;In Force;;nan
Malaysia;21 Mar 2022;In Force;;nan
Mali;12 Apr 2016;In Force;;nan
Malta;14 Feb 2019;In Force;;nan
Mauritania;09 Feb 2016;In Force;;nan
Mozambique;14 Jun 2018;In Force;;nan
Namibia;06 Nov 2017;In Force;;nan
Netherlands;08 Aug 2017;In Force;;nan
New Zealand;13 Dec 2019;In Force;;nan
Niger;14 May 2015;In Force;;nan
Norway;09 Nov 2015;In Force;;nan
Panama;07 Sep 2016;In Force;;nan
Peru;18 Jun 2021;In Force;;nan
Poland;10 Mar 2017;In Force;;nan
Portugal;23 Dec 2020;In Force;;nan
Russian Federation;17 Jan 2019;In Force;;nan
Saudi Arabia;26 May 2021;In Force;;nan
Sierra Leone;25 Aug 2021;In Force;;nan
Spain;20 Sep 2017;In Force;;nan
Sri Lanka;10 Apr 2019;In Force;;nan
Sudan;17 Mar 2021;In Force;;nan
Suriname;03 Jun 2019;In Force;;nan
Sweden;14 Jun 2017;In Force;;nan
Switzerland;28 Sep 2017;In Force;;nan
Tajikistan;24 Jan 2020;In Force;;nan
Thailand;04 Jun 2018;In Force;;nan
United Kingdom of Great Britain and Northern Ireland;22 Jan 2016;In Force;;nan
Uzbekistan;16 Sep 2019;In Force;;nan
Zimbabwe;22 May 2019;In Force;;nan
