COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;No;No;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2019;No;No;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2019;No;No;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2019;No;No;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2019;No;No;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2019;No;No;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2019;Yes;1992, 2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2019;Yes;2017;"This indicator assesses whether the country has a national environmental framework law. The data comes from Figure. ""Countries with national environmental framework laws"". P.5. UNEP Environmental Rule of Law. First Global Report 2019.";;;;;;;;;;;;GQ;GNQ;GNQ;nan
