DATAFLOW;REF_AREA;FREQ;MEASURE;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MEASURE_TYPE;UNIT_MEASURE;UNIT_MULT;SOURCE;NOTE_SOURCE;NOTE_INDICATOR;NOTE_CLASSIF;DECIMALS;UPPER_BOUND;LOWER_BOUND;ATTR_ENDPOINT
ILO:DF_ILR_CBCT_NOC_RT(1.0);BGD;A;ILR_CBCT_RT;2020;1.6;;RT;PT;0;OS - Estimations based on administrative data;Reference group coverage: Employees;Collective bargaining coverage : Adjusted for the right to collective bargaining;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);BRA;A;ILR_CBCT_RT;2020;64.8;;RT;PT;0;HS - Pesquisa Nacional por Amostra de Domicílios;Reference group coverage: Employees, excluding domestic services;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);BWA;A;ILR_CBCT_RT;2020;34.5;;RT;PT;0;OS - Estimations based on administrative data;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);CAN;A;ILR_CBCT_RT;2020;31.3;;RT;PT;0;LFS - Labour Force Survey;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);CRI;A;ILR_CBCT_RT;2020;11.8;;RT;PT;0;ADM - Administrative Records of the Ministry of Labour and Social Security;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);GEO;A;ILR_CBCT_RT;2020;14.4;;RT;PT;0;ADM-RWO - Trade unions records;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);GHA;A;ILR_CBCT_RT;2020;38.4;;RT;PT;0;OE - Estimates based on various Sources;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);KHM;A;ILR_CBCT_RT;2020;1.3;;RT;PT;0;OS - Estimations based on administrative data;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);MAR;A;ILR_CBCT_RT;2020;3.0;;RT;PT;0;ADM - Autres fichiers administratifs et sources connexes, Relations professionnelles;Reference group coverage: Employees;Collective bargaining coverage : Adjusted for the right to collective bargaining;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);MDA;A;ILR_CBCT_RT;2020;43.0;;RT;PT;0;ADM-RWO - Trade unions records;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);NAM;A;ILR_CBCT_RT;2020;40.9;;RT;PT;0;OS - Estimations based on administrative data;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);NIC;A;ILR_CBCT_RT;2020;6.7;;RT;PT;0;ADM - Registros de la Dirección de Derechos Colectivos e Inspectorías departamentales;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);NZL;A;ILR_CBCT_RT;2020;18.6;;RT;PT;0;ADM - Records of the Department of Business, Innovation and Employment;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_ILR_CBCT_NOC_RT(1.0);PER;A;ILR_CBCT_RT;2020;2.6;;RT;PT;0;ADM - Planillas Electrónicas;Reference group coverage: Employees;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
