COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2018;no;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2018;yes;Article 333 bis 1 of the Penal Code of Algeria imposes criminal penalty for anyone who represents, by any means whatsoever, a person under eighteen (18) years engaged in explicit sexual activities, real or simulated, or represents the sexual organs of a minor, for primarily sexual purposes, or is involved in the production, distribution, dissemination, propagation, import, export, offer, sale or possession of pornographic material featuring minors. Emphasis added;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2018;yes;Article 128 of Penal Code of Argentina punishes anyone who “produces, finances, offers, sells, publishes, facilitates, discloses or distributes, by any means, any representation of a child under eighteen (18) years engaged in explicit sexual activities….” Emphasis added;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2018;yes;;"The indicator assesses whether the law provides for technology-facilitated CSAM
offenses  166: In order to qualify as a technology-facilitated offense, we were looking for specific mention of a computer, computer system, Internet, ICT, or similar language (even if such mention is of a “computer image” or something similar in the definition of “child sexual abuse material”). In cases where other language is used in national legislation, an explanatory footnote is provided";;;;;;;;;;;;AT;AUT;AUT;nan
