COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;Yes, the country has legal provisions for access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Yes, the country has legal provisions for access to information;1972, 2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2019;Yes, the country has legal provisions for access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2019;Yes, the country has a constitutional right of access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2019;Yes, the country has legal provisions for access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2019;Yes, the country has a constitutional right of access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2019;Yes, the country has a constitutional right of access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2019;Yes, the country has legal provisions for access to information;2017;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2019;No;;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2019;Yes, the country has a constitutional right and other legal provisions for access to information;1992;This indicator measures whether the country has laws protecting access to information. Data is drawn from Figure 3.6: Countries with Laws Protecting Access to Information (1972, 1992, and 2017) p. 102-p.103 in UNEP Environmental Rule of Law First Global Report 2019.  Countries with laws are noted as either, having a constitutional right and other legal provisions for access to information or having a constitutional right only, or having other legal provisions for access to information.;;;;;;;;;;;;BG;BGR;BGR;nan
