Country;Date;Status;Note;ATTR_ENDPOINT
AfghanistanMinimum age specified: 14 years;07 Apr 2010;In Force;;
AlbaniaMinimum age specified: 16 years;16 Feb 1998;In Force;;
AlgeriaMinimum age specified: 16 years;30 Apr 1984;In Force;;
AngolaMinimum age specified: 14 years;13 Jun 2001;In Force;;
Antigua and BarbudaMinimum age specified: 16 years;17 Mar 1983;In Force;;
ArgentinaMinimum age specified: 16 years;11 Nov 1996;In Force;;
ArmeniaMinimum age specified: 16 years;27 Jan 2006;In Force;;
AustriaMinimum age specified: 15 years;18 Sep 2000;In Force;;
AzerbaijanMinimum age specified: 16 years;19 May 1992;In Force;;
BahamasMinimum age specified: 14 years;31 Oct 2001;In Force;;
BahrainMinimum age specified: 15 years;07 Mar 2012;In Force;;
BangladeshMinimum age specified: 14 years. The scope of the Convention is limited to the branches of economic activity or types of undertakings listed in article 5, paragraph 3, of the Convention.;22 Mar 2022;In Force;;
BarbadosMinimum age specified: 16 years;04 Jan 2000;In Force;;
BelarusMinimum age specified: 16 years;03 May 1979;In Force;;
BelgiumMinimum age specified: 15 years;19 Apr 1988;In Force;;
BelizeMinimum age specified: 14 years;06 Mar 2000;In Force;;
BeninMinimum age specified: 14 years;11 Jun 2001;In Force;;
Bolivia (Plurinational State of)Minimum age specified: 14 years;11 Jun 1997;In Force;;
Bosnia and HerzegovinaMinimum age specified: 15 years;02 Jun 1993;In Force;;
BotswanaMinimum age specified: 14 years;05 Jun 1997;In Force;;
BrazilMinimum age specified: 16 years;28 Jun 2001;In Force;;
Brunei DarussalamMinimum age specified: 16 years;17 Jun 2011;In Force;;
BulgariaMinimum age specified: 16 years;23 Apr 1980;In Force;;
Burkina FasoMinimum age specified: 15 years;11 Feb 1999;In Force;;
BurundiMinimum age specified: 16 years;19 Jul 2000;In Force;;
Cabo VerdeMinimum age specified: 15 years;07 Feb 2011;In Force;;
CambodiaMinimum age specified: 14 years;23 Aug 1999;In Force;;
CameroonMinimum age specified: 14 years;13 Aug 2001;In Force;;
CanadaMinimum age specified: 16 years;08 Jun 2016;In Force;;
Central African RepublicMinimum age specified: 14 years;28 Jun 2000;In Force;;
ChadMinimum age specified: 14 years;21 Mar 2005;In Force;;
ChileMinimum age specified: 15 years;01 Feb 1999;In Force;;
ChinaMinimum age specified: 16 years;28 Apr 1999;In Force;;
ColombiaMinimum age specified: 15 years;02 Feb 2001;In Force;;
ComorosMinimum age specified: 15 years;17 Mar 2004;In Force;;
CongoMinimum age specified: 14 years;26 Nov 1999;In Force;;
Costa RicaMinimum age specified: 15 years;11 Jun 1976;In Force;;
CroatiaMinimum age specified: 15 years;08 Oct 1991;In Force;;
CubaMinimum age specified: 15 years;07 Mar 1975;In Force;;
CyprusMinimum age specified: 15 years;02 Oct 1997;In Force;;
CzechiaMinimum age specified: 15 years;26 Apr 2007;In Force;;
Côte d'IvoireMinimum age specified: 14 years;07 Feb 2003;In Force;;
Democratic Republic of the CongoMinimum age specified: 14 years;20 Jun 2001;In Force;;
DenmarkMinimum age specified: 15 years;13 Nov 1997;In Force;;
DjiboutiMinimum age specified: 16 years;14 Jun 2005;In Force;;
DominicaMinimum age specified: 15 years;27 Sep 1983;In Force;;
Dominican RepublicMinimum age specified: 14 years. The scope of the Convention is limited to industry or to the economic activities set forth in article 5, paragraph 3. The employment of persons from twelve to fourteen years of age on light work is authorized as provided in article 7, paragraph 4.;15 Jun 1999;In Force;;
EcuadorMinimum age specified: 15 years;19 Sep 2000;In Force;;
EgyptMinimum age specified: 15 years;09 Jun 1999;In Force;;
El SalvadorMinimum age specified: 14 years;23 Jan 1996;In Force;;
Equatorial GuineaMinimum age specified: 14 years;12 Jun 1985;In Force;;
EritreaMinimum age specified: 14 years;22 Feb 2000;In Force;;
EstoniaMinimum age specified: 15 years;15 Mar 2007;In Force;;
EswatiniMinimum age specified: 15 years;23 Oct 2002;In Force;;
EthiopiaMinimum age specified: 14 years;27 May 1999;In Force;;
FijiMinimum age specified: 15 years;03 Jan 2003;In Force;;
FinlandMinimum age specified: 15 years;13 Jan 1976;In Force;;
FranceMinimum age specified: 16 years;13 Jul 1990;In Force;;
GabonMinimum age specified: 16 years;25 Oct 2010;In Force;;
GambiaMinimum age specified: 14 years;04 Sep 2000;In Force;;
GeorgiaMinimum age specified: 15 years;23 Sep 1996;In Force;;
