Participant;Signature, Succession to signature(d);Ratification, Accession(a), Succession(d);ATTR_ENDPOINT
Angola;28 Dec 1990;;nan
Armenia;;23 Nov 2020 a;nan
Azerbaijan;;4 Dec 1997 a;nan
Barbados;;10 Jul 1992 a;nan
Belarus;13 Dec 1990;28 May 1997;nan
Belgium;;31 May 2002 a;nan
Cameroon;21 Dec 1990;26 Jan 1996;nan
Congo;20 Jun 1990;;nan
Costa Rica;;20 Sep 2001 a;nan
Croatia 2;;27 Mar 2000 a;nan
Cuba;;9 Feb 2007 a;nan
Cyprus;;8 Jul 1993 a;nan
Democratic Republic of the Congo;20 Mar 1990;;nan
Ecuador;;7 Dec 2016 a;nan
Equatorial Guinea;;21 Jan 2019 a;nan
Georgia;;8 Jun 1995 a;nan
Germany;20 Dec 1990;;nan
Guinea;;18 Jul 2003 a;nan
Honduras;;1 Apr 2008 a;nan
Italy;5 Feb 1990;21 Aug 1995;nan
Liberia;;16 Sep 2005 a;nan
Libya;;22 Sep 2000 a;nan
Maldives;17 Jul 1990;11 Sep 1991;nan
Mali;;12 Apr 2002 a;nan
Mauritania;;9 Feb 1998 a;nan
Montenegro 3;23 Oct 2006 d;;nan
Morocco;5 Oct 1990;;nan
New Zealand 4;;22 Sep 2004 a;nan
Nigeria;4 Apr 1990;;nan
Peru;;23 Mar 2007 a;nan
Poland;28 Dec 1990;;nan
Qatar;;26 Mar 1999 a;nan
Republic of Moldova;;28 Feb 2006 a;nan
Romania;17 Dec 1990;;nan
Saudi Arabia;;14 Apr 1997 a;nan
Senegal;;9 Jun 1999 a;nan
Serbia 2;12 Mar 2001 d;14 Jan 2016;nan
Seychelles;;12 Mar 1990 a;nan
Suriname;27 Feb 1990;10 Aug 1990;nan
Syrian Arab Republic;;23 Oct 2008 a;nan
Togo;;25 Feb 1991 a;nan
Turkmenistan;;18 Sep 1996 a;nan
Ukraine 5;21 Sep 1990;13 Sep 1993;nan
Uruguay;20 Nov 1990;14 Jul 1999;nan
Uzbekistan;;19 Jan 1998 a;nan
Venezuela (Bolivarian Republic of);;12 Nov 2013 a;nan
