COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2021;Draft Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2021;Legislation;A prerequisite for conducting commercial transactions online is to have e-transaction laws that recognize the legal equivalence between paper-based and electronic forms of exchange. Such laws have been adopted by 158 countries (81 per cent), of which 79 are developing countries and 29 are Least Developing Countries. While almost all European countries (44 out of 45 countries) have in place e-transaction laws, and 89% in the Americas, the share in Africa is only 61%.;;;;;;;;;;;;AT;AUT;AUT;nan
