COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2023;Yes, founding participant;2008.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2023;Yes, a participant state;2009.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2023;Yes, founding participant;2008.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2023;Yes, founding participant;2008.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2023;Yes, founding participant;2008.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2023;Yes, a participant state;2012.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2023;Yes, a participant state;2009.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2023;Yes, a participant state;2009.0;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2023;Not a participant state;;The indicator assesses whether a country is a participating state in the Montreux Document. The Montreux Document is the first international document to reaffirm the international legal obligations of States regarding the activities of private military and security companies. It also contains a series of best practices designed to help States take appropriate measures to comply with their obligations under international law.;;;;;;;;;;;;CM;CMR;CMR;nan
