COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;Yes=3, Partial=2, No=1, no data = 1;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2018.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BH;BHR;BHR;nan
