COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;Countries with national laws that reflect limited progress in addressing indigenous land tenure;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;Countries with national laws that reflect limited progress in addressing indigenous land tenure;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;Countries with national laws that reflect limited progress in addressing indigenous land tenure;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Countries with national laws that make significant progress toward addressing indigenous land tenure;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2019;No data;"This indicator assesses whether national laws recognise indigenous land tenure. Data is taken from Figure 4.6: Countries Recognizing Indigenous and Community Rights to Land at the National Level (2016), Countries recognizing indigenous land tenure in national laws. In UNEP Environmental Rule of Law First Global Report 2019. Answer options include
Countries where national laws fully address indigenous land tenure
Countries with national laws that make significant progress toward addressing indigenous land tenure
Countries with national laws that reflect limited progress in addressing indigenous land tenure
Countries where laws do not address indigenous land tenure";;;;;;;;;;;;AZ;AZE;AZE;nan
