country;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;5.0;2019.0;nan
Albania;5.0;2019.0;nan
Algeria;5.0;2019.0;nan
Andorra;5.0;2019.0;nan
Angola;5.0;2019.0;nan
Antigua and Barbuda;3.0;2019.0;nan
Argentina;5.0;2019.0;nan
Armenia;5.0;2019.0;nan
Australia;4.0;2019.0;nan
Austria;4.0;2019.0;nan
Azerbaijan;4.0;2019.0;nan
Bahamas;5.0;2019.0;nan
Bahrain;4.0;2019.0;nan
Bangladesh;3.0;2019.0;nan
Barbados;5.0;2019.0;nan
Belarus;5.0;2019.0;nan
Belgium;4.0;2019.0;nan
Belize;3.0;2019.0;nan
Benin;3.0;2019.0;nan
Bhutan;2.0;2019.0;nan
Bolivia;3.0;2019.0;nan
Bosnia and Herzegovina;4.0;2019.0;nan
Botswana;4.0;2019.0;nan
Brazil;5.0;2019.0;nan
Brunei;5.0;2019.0;nan
Bulgaria;5.0;2019.0;nan
Burkina Faso;5.0;2019.0;nan
Burundi;5.0;2019.0;nan
Cambodia;4.0;2019.0;nan
Cameroon;3.0;2019.0;nan
Canada;5.0;2019.0;nan
Cabo Verde;4.0;2019.0;nan
Central African Republic;3.0;2019.0;nan
Chad;3.0;2019.0;nan
Chile;5.0;2019.0;nan
China;5.0;2019.0;nan
Colombia;4.0;2019.0;nan
Comoros;4.0;2019.0;nan
Democratic Republic of the Congo;5.0;2019.0;nan
Republic of the Congo;5.0;2019.0;nan
Costa Rica;4.0;2019.0;nan
Cote d'Ivoire;5.0;2019.0;nan
Croatia;4.0;2019.0;nan
Cuba;5.0;2019.0;nan
Cyprus;4.0;2019.0;nan
Czech Republic;4.0;2019.0;nan
Denmark;4.0;2019.0;nan
Djibouti;5.0;2019.0;nan
Dominica;2.0;2019.0;nan
Dominican Republic;3.0;2019.0;nan
Ecuador;4.0;2019.0;nan
Egypt;4.0;2019.0;nan
El Salvador;3.0;2019.0;nan
Equatorial Guinea;5.0;2019.0;nan
Eritrea;3.0;2019.0;nan
Estonia;4.0;2019.0;nan
Ethiopia;3.0;2019.0;nan
Fiji;4.0;2019.0;nan
Finland;4.0;2019.0;nan
France;5.0;2019.0;nan
Gabon;5.0;2019.0;nan
The Gambia;5.0;2019.0;nan
Georgia;5.0;2019.0;nan
Germany;4.0;2019.0;nan
Ghana;4.0;2019.0;nan
Greece;4.0;2019.0;nan
Grenada;5.0;2019.0;nan
Guatemala;3.0;2019.0;nan
Guinea;5.0;2019.0;nan
Guinea-Bissau;3.0;2019.0;nan
Guyana;4.0;2019.0;nan
Haiti;4.0;2019.0;nan
Honduras;3.0;2019.0;nan
Hungary;5.0;2019.0;nan
Iceland;5.0;2019.0;nan
India;3.0;2019.0;nan
Indonesia;4.0;2019.0;nan
Iran;4.0;2019.0;nan
Iraq;4.0;2019.0;nan
Ireland;5.0;2019.0;nan
Israel;4.0;2019.0;nan
Italy;4.0;2019.0;nan
Jamaica;4.0;2019.0;nan
Japan;4.0;2019.0;nan
Jordan;5.0;2019.0;nan
Kazakhstan;5.0;2019.0;nan
Kenya;5.0;2019.0;nan
Kiribati;3.0;2019.0;nan
