COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2018;No legislation;;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;Article 10 of Law No. 60 of 2014 on Information Technology Crimes states that in the application of the provisions of this article, “child pornography” means the definition provided in the Optional Protocol to the Convention on the Rights of the Child on the sale of children, child prostitution and child pornography;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;"182: CSAM legislation in Hong Kong differs from that in China. Legislation in Hong Kong:
 defines CSAM;
 criminalizes technology-facilitated CSAE offenses; and
 criminalizes simple possession of CSAM.
Taiwan has legislation specific to CSAM that:
 defines CSAM;
 criminalizes technology-facilitated CSAM offenses;
 criminalizes simple possession of CSAM; and
 mandates ISPs to report CSAM.
Macau has legislation specific to CSAM, but has not yet fulfilled the remaining criteria.  183: Article 367 stipulates the definition of “obscene articles”, i.e., sex-propagating books, periodicals, films, video- and audio-tapes, pictures and other obscene articles which concretely describe sexual acts or openly publicize sex. Given that the above provisions in the Criminal Law of China include child pornography, there is no separate law or definition exclusively on child pornography. That said, it is important to note that child pornography is covered by China’s criminal legislation and relevant crimes are subject to severe punishment. Letter from HU Binchen, Police Counselor, Police Liaison Office, Embassy of the People’s Republic of China, Washington D.C., to the International Centre for Missing & Exploited Children (Sep. 4, 2012) (on file with the International Centre for Missing & Exploited Children";;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2018;No legislation;;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;GH;GHA;GHA;nan
GRC;Greece;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;GR;GRC;GRC;nan
GRD;Grenada;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;GD;GRD;GRD;nan
GTM;Guatemala;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;GT;GTM;GTM;nan
GIN;Guinea;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;GN;GIN;GIN;nan
GNB;Guinea-Bissau;2018;No legislation;;;;;;;;;;;;;;;GNB;nan
GUY;Guyana;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;GY;GUY;GUY;nan
HTI;Haiti;2018;Yes there is legislation specific to CSAM but it does NOT have an adequate CSAM definition;;;;;;;;;;;;;HT;HTI;HTI;nan
HND;Honduras;2018;Yes there is legislation specific to CSAM and it has an adequate CSAM definition;;;;;;;;;;;;;HN;HND;HND;nan
