COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;Yes, the country has a stand-alone legal instrument for environmental impact assessments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2019;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;Yes, the country has a stand-alone legal instrument for environmental impact assessments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2020;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;Yes, the country has environmental impact assessment provisions in other legal instruments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2021;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;Yes, the country has environmental impact assessment provisions in other legal instruments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2022;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;Yes, the country has a stand-alone legal instrument for environmental impact assessments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2023;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;Yes, the country has environmental impact assessment provisions in other legal instruments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2024;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;Yes, the country has a stand-alone legal instrument for environmental impact assessments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2025;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;Yes, the country has a stand-alone legal instrument for environmental impact assessments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2026;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Yes, the country has environmental impact assessment provisions in other legal instruments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2027;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;Yes, the country has a stand-alone legal instrument for environmental impact assessments;2017;This indicator assesses whether a country has an environmental impact assessment law, either as a stand alone legal instrument or a provision in other laws. Data is taken from Figure 3.15 Countrie with Environmental Impact Assessment Laws, p.127-127, UNEP Environmental Rule of Law. First Global Report 2028;;;;;;;;;;;;AT;AUT;AUT;nan
