;goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;COUNTRY_NAME;COUNTRY_ISO_2;COUNTRY_ISO_3
0;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;4;Afghanistan;2019;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Afghanistan;AF;AFG
1;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;8;Albania;2018;20;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
2;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2005;218;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
3;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2006;1438;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
4;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2007;355;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
5;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2008;562;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
6;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2009;1164;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
7;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2010;953;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
8;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2011;260;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
9;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2012;938;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
10;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2013;2652;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
11;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2014;600;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
12;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2015;932;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
13;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2016;237;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
14;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2017;762;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
15;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2018;835;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
16;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2019;1569;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
17;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;12;Algeria;2020;508;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Algeria;DZ;DZA
18;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;24;Angola;2005;750;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Angola;AO;AGO
19;['1'];['1.5'];['1.5.1'];VC_DSR_PDLN;Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number);806;24;Angola;2006;732;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Angola;AO;AGO
