;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
0;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;AFG;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
1;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;ALB;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
2;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;AND;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
3;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;DZA;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
4;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;AGO;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
5;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;ATG;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
6;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;ARG;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
7;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;ARM;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
8;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;AUS;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
9;2023.0;VALUE WITHOUT MAPPING - PLEASE MAP;AUT;both;National Action Plan on Business and Human Rights;Workplace;Decent working conditions;Enforcement;WP_DW_EN_NAPBHR;https://globalnaps.org/issue/childrens-rights/ and https://www.ohchr.org/EN/Issues/Business/Pages/NationalActionPlans.aspx;UNICEF research;National Action Plan on Business and Human Rights;;;;National Action Plans on Business and Human Rights (sources: Danish Institute for Business and Human Rights and UN OHCHR);nan;2023;"4=Yes, and the NAP addresses children’s rights specifically; 3=Yes, but the NAP does not address children’s rights specifically; 2=No, but the state has committed to doing one or has started the process; 1=No, not listed a having an action plan or developing one"
