;TIME_PERIOD;COUNTRY_ISO_3;RAW_OBS_VALUE;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
0;2018.0;AFG;57.5;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
1;2017.0;ALB;36.5;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
2;2023.0;AND;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
3;2019.0;DZA;28.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
4;2015.0;AGO;37.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
5;2023.0;ATG;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
6;2011.0;ARG;32.0;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
7;2016.0;ARM;44.5;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
8;2023.0;AUS;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
9;2023.0;AUT;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
